Round,Opponent,Venue,days_since_first_match,Result,Total_Shots_team,Total_SoT_team,Total_xG_team,Total_Possession,Goals_Per_Match_team,Goals_Conceded_Per_Match_team,Goals_Scored_Haaland,SoT_Haaland,Expected_Goals_Haaland,Non_Penalty_xG_Haaland,xG_per_Shot_Haaland,Shot_Accuracy_Haaland,Goals_Per_Shot_Haaland,Assists_Haaland,Minutes_Played_Haaland,xG_Per_Minute_Haaland,Goals_Per_Minute_Haaland,SCA_Per_Minute_Haaland,GCA_Per_Minute_Haaland,Match_Impact_Haaland,Home_Away,Opponent_Strength,Match_Event_Influence,Match_Tempo,Expected Goals
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
1,5,0,0,2,17,8,1.9,65,3.0,0.0,2,8,1.9,1.9,0.11176470588235293,0.47058823529411764,0.17647058823529413,0,79,0.024050632911392405,0.0379746835443038,0.0379746835443038,0.0,6,0,-0.79,3,0.21518987341772153,1.9
2,13,1,8,2,14,4,1.0,59,0.5,0.0,0,4,1.0,1.0,0.07142857142857142,0.2857142857142857,0.07142857142857142,0,90,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.0,3,0,0.96,1,0.15555555555555556,1.0
2,13,1,8,2,14,4,1.0,59,0.5,0.0,0,4,1.0,1.0,0.07142857142857142,0.2857142857142857,0.07142857142857142,0,90,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.0,3,0,0.96,1,0.15555555555555556,1.0
2,13,1,8,2,14,4,1.0,59,0.5,0.0,0,4,1.0,1.0,0.07142857142857142,0.2857142857142857,0.07142857142857142,0,90,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.0,3,0,0.96,1,0.15555555555555556,1.0
2,13,1,8,2,14,4,1.0,59,0.5,0.0,0,4,1.0,1.0,0.07142857142857142,0.2857142857142857,0.07142857142857142,0,90,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.0,3,0,0.96,1,0.15555555555555556,1.0
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
3,15,0,16,2,29,9,3.5,79,0.6666666666666666,0.3333333333333333,1,9,3.5,2.8,0.1206896551724138,0.3103448275862069,0.06896551724137931,0,90,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.011111111111111112,4,0,-1.03,1,0.32222222222222224,3.5
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
4,9,1,22,2,6,4,2.2,68,1.25,0.25,3,4,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1,90,0.024444444444444446,0.05555555555555555,0.022222222222222223,0.011111111111111112,8,0,-0.4,4,0.06666666666666667,2.2
