round,expected goals,venue_xg,opponent_xg,goals,shots,touches,ast,passcmp,passcmp%,min,poss,gca,sca,gls,sh,rolling_expected goals,cumulative_expected goals,rolling_goals,cumulative_goals,rolling_shots,cumulative_shots,rolling_touches,cumulative_touches,rolling_poss,cumulative_poss,rolling_gca,cumulative_gca,rolling_sca,cumulative_sca,rolling_haaland_gls,cumulative_haaland_gls,rolling_haaland_ast,cumulative_haaland_ast,rolling_haaland_sh,cumulative_haaland_sh,rolling_haaland_min,cumulative_haaland_min,rolling_haaland_touches,cumulative_haaland_touches,rolling_haaland_poss,cumulative_haaland_poss,rolling_haaland_gca,cumulative_haaland_gca,rolling_haaland_sca,cumulative_haaland_sca,haaland_performance_rating,rolling_haaland_rating,cumulative_haaland_rating,defenders,midfielders,forwards,defenders_opp,midfielders_opp,forwards_opp,opponent_strength,opponent_haaland,venue_haaland,days_since_first_match,result,total_shots_team,total_sot_team,total_xg_team,total_possession,goals_per_match_team,goals_conceded_per_match_team,goals_scored_haaland,sot_haaland,expected_goals_haaland,non_penalty_xg_haaland,xg_per_shot_haaland,shot_accuracy_haaland,goals_per_shot_haaland,assists_haaland,minutes_played_haaland,xg_per_minute_haaland,goals_per_minute_haaland,sca_per_minute_haaland,gca_per_minute_haaland,match_impact_haaland,home_away,match_event_influence,match_tempo
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,16,32,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,16.0,16.0,0.0,0.0,32.0,32.0,79.0,79.0,144.0,144.0,65.0,65.0,0.0,0.0,3.0,3.0,0.8341772151898735,0.8341772151898735,0.8341772151898735,4,5,1,5,4,1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
2,1.0,Home,Newcastle Utd,4,56,88,0,24,54.5,90.0,59.0,0.0,2.0,0,16,1.45,1.45,14.0,14.0,96.0,96.0,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,8.0,8.0,0.0,0.0,24.0,24.0,84.5,84.5,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,0.0111111111111111,0.4226441631504923,0.4226441631504923,4,5,1,4,3,3,0.96,13.0,1.0,8.0,2.0,14.0,4.0,1.0,59.0,0.5,0.0,0.0,4.0,1.0,1.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,90.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,3.0,0.0,1.0,0.1555555555555555
2,1.0,Home,Newcastle Utd,4,56,88,0,24,54.5,90.0,59.0,0.0,2.0,0,16,1.45,1.45,14.0,14.0,96.0,96.0,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,8.0,8.0,0.0,0.0,24.0,24.0,84.5,84.5,116.0,116.0,62.0,62.0,0.0,0.0,2.5,2.5,0.0111111111111111,0.4226441631504923,0.4226441631504923,4,5,1,4,3,3,0.96,13.0,1.0,8.0,2.0,14.0,4.0,1.0,59.0,0.5,0.0,0.0,4.0,1.0,1.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,90.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,3.0,0.0,1.0,0.1555555555555555
