round,expected goals,venue_xg,opponent_xg,goals,shots,touches,ast,passcmp,passcmp%,min,poss,gca,sca,gls,sh,rolling_xg,cumulative_xg,rolling_goals,cumulative_goals,rolling_shots,cumulative_shots,rolling_touches,cumulative_touches,rolling_possession,cumulative_possession,rolling_assists,cumulative_assists,rolling_passcmp,cumulative_passcmp,rolling_passaccuracy,cumulative_passaccuracy,rolling_minutesplayed,cumulative_minutesplayed,rolling_gca,cumulative_gca,rolling_sca,cumulative_sca,rolling_playergoals,cumulative_playergoals,rolling_playershots,cumulative_playershots,defenders,midfielders,forwards,defenders_opp,midfielders_opp,forwards_opp,haaland_impact_last5,haaland_impact_cumulative,opponent_strength,opponent_haaland,venue_haaland,days_since_first_match,result,total_shots_team,total_sot_team,total_xg_team,total_possession,goals_per_match_team,goals_conceded_per_match_team,goals_scored_haaland,sot_haaland,expected_goals_haaland,non_penalty_xg_haaland,xg_per_shot_haaland,shot_accuracy_haaland,goals_per_shot_haaland,assists_haaland,minutes_played_haaland,xg_per_minute_haaland,goals_per_minute_haaland,sca_per_minute_haaland,gca_per_minute_haaland,match_impact_haaland,home_away,match_event_influence,match_tempo
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
1,1.9,Away,Burnley,24,136,144,0,72,81.8,79.0,65.0,0.0,3.0,2.0,4.0,1.9,1.9,24.0,24.0,136.0,136.0,144.0,144.0,65.0,65.0,0.0,0.0,72.0,72.0,81.8,81.8,79.0,79.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,4,5,1,5,4,1,0.1,0.1,-0.79,5.0,0.0,0.0,2.0,17.0,8.0,1.9,65.0,3.0,0.0,2.0,8.0,1.9,1.9,0.1117647058823529,0.4705882352941176,0.1764705882352941,0.0,79.0,0.0240506329113924,0.0379746835443038,0.0379746835443038,0.0,6.0,0.0,3.0,0.2151898734177215
2,1.0,Home,Newcastle Utd,4,56,88,0,24,54.5,90.0,59.0,0.0,2.0,0.0,4.0,1.45,1.45,14.0,14.0,96.0,96.0,116.0,116.0,62.0,62.0,0.0,0.0,48.0,48.0,68.15,68.15,84.5,84.5,0.0,0.0,2.5,2.5,1.0,1.0,4.0,4.0,4,5,1,4,3,3,-0.4499999999999999,-0.4499999999999999,0.96,13.0,1.0,8.0,2.0,14.0,4.0,1.0,59.0,0.5,0.0,0.0,4.0,1.0,1.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,90.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,3.0,0.0,1.0,0.1555555555555555
2,1.0,Home,Newcastle Utd,4,56,88,0,24,54.5,90.0,59.0,0.0,2.0,0.0,4.0,1.45,1.45,14.0,14.0,96.0,96.0,116.0,116.0,62.0,62.0,0.0,0.0,48.0,48.0,68.15,68.15,84.5,84.5,0.0,0.0,2.5,2.5,1.0,1.0,4.0,4.0,4,5,1,4,3,3,-0.4499999999999999,-0.4499999999999999,0.96,13.0,1.0,8.0,2.0,14.0,4.0,1.0,59.0,0.5,0.0,0.0,4.0,1.0,1.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,90.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,3.0,0.0,1.0,0.1555555555555555
2,1.0,Home,Newcastle Utd,4,56,88,0,24,54.5,90.0,59.0,0.0,2.0,0.0,4.0,1.45,1.45,14.0,14.0,96.0,96.0,116.0,116.0,62.0,62.0,0.0,0.0,48.0,48.0,68.15,68.15,84.5,84.5,0.0,0.0,2.5,2.5,1.0,1.0,4.0,4.0,4,5,1,4,3,3,-0.4499999999999999,-0.4499999999999999,0.96,13.0,1.0,8.0,2.0,14.0,4.0,1.0,59.0,0.5,0.0,0.0,4.0,1.0,1.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,90.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,3.0,0.0,1.0,0.1555555555555555
