round,expected goals,venue,opponent,goals,shots,touches,ast,passcmp,passcmp%,min,poss,gca,sca,gls,sh,rolling_expected goals,cumulative_expected goals,rolling_goals,cumulative_goals,rolling_shots,cumulative_shots,rolling_touches,cumulative_touches,rolling_poss,cumulative_poss,rolling_gca,cumulative_gca,rolling_sca,cumulative_sca,rolling_haaland_gls,cumulative_haaland_gls,rolling_haaland_ast,cumulative_haaland_ast,rolling_haaland_sh,cumulative_haaland_sh,rolling_haaland_min,cumulative_haaland_min,rolling_haaland_touches,cumulative_haaland_touches,rolling_haaland_poss,cumulative_haaland_poss,rolling_haaland_gca,cumulative_haaland_gca,rolling_haaland_sca,cumulative_haaland_sca,haaland_performance_rating,rolling_haaland_rating,cumulative_haaland_rating,defenders,midfielders,forwards,defenders_opp,midfielders_opp,forwards_opp,opponent_strength
1,1.9,Away,Burnley,3.0,17.0,18.0,0.0,9.0,81.8,79.0,65.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12531645569620253,0.0,0.0,4,5,1,5,4,1,-0.79
2,1.0,Home,Newcastle Utd,1.0,14.0,22.0,0.0,6.0,54.5,90.0,59.0,0.0,2.0,0.0,4.0,1.9,1.9,3.0,3.0,17.0,17.0,18.0,18.0,65.0,65.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,4.0,4.0,79.0,79.0,18.0,18.0,65.0,65.0,0.0,0.0,3.0,3.0,0.011111111111111112,0.12531645569620253,0.12531645569620253,4,5,1,4,3,3,0.96
3,3.5,Away,Sheffield Utd,2.0,29.0,23.0,0.0,6.0,54.5,90.0,79.0,1.0,2.0,1.0,7.0,1.45,1.45,2.0,2.0,15.5,15.5,20.0,20.0,62.0,62.0,0.0,0.0,2.5,2.5,1.0,1.0,0.0,0.0,4.0,4.0,84.5,84.5,20.0,20.0,62.0,62.0,0.0,0.0,2.5,2.5,0.08333333333333333,0.06821378340365682,0.06821378340365682,4,5,1,3,5,2,-1.03
4,2.2,Home,Fulham,5.0,6.0,17.0,1.0,4.0,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.1333333333333333,2.1333333333333333,2.0,2.0,20.0,20.0,21.0,21.0,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.0,1.0,0.0,0.0,5.0,5.0,86.33333333333333,86.33333333333333,21.0,21.0,67.66666666666667,67.66666666666667,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.1911111111111111,0.07325363338021566,0.07325363338021566,4,5,1,4,3,3,-0.4
5,3.5999999999999996,Away,West Ham,3.0,29.0,22.0,0.0,9.0,69.2,89.0,68.0,0.0,2.0,1.0,9.0,2.15,2.15,2.75,2.75,16.5,16.5,20.0,20.0,67.75,67.75,0.5,0.5,2.25,2.25,1.5,1.5,0.25,0.25,4.5,4.5,87.25,87.25,20.0,20.0,67.75,67.75,0.5,0.5,2.25,2.25,0.08539325842696628,0.10271800281293952,0.10271800281293952,4,5,1,4,5,1,-0.51
6,1.3,Home,Nott'ham Forest,2.0,7.0,24.0,0.0,9.0,60.0,90.0,57.0,0.0,2.0,1.0,2.0,2.44,2.44,2.8,2.8,19.0,19.0,20.4,20.4,67.8,67.8,0.4,0.4,2.2,2.2,1.4,1.4,0.2,0.2,5.4,5.4,87.6,87.6,20.4,20.4,67.8,67.8,0.4,0.4,2.2,2.2,0.058888888888888886,0.09925305393574488,0.09925305393574488,4,5,1,5,4,1,-0.44
7,0.9,Away,Wolves,1.0,23.0,14.0,0.0,10.0,83.3,90.0,68.0,0.0,1.0,0.0,1.0,2.32,2.25,2.6,2.6666666666666665,17.0,17.0,21.6,21.0,66.2,66.0,0.4,0.3333333333333333,2.0,2.1666666666666665,1.2,1.3333333333333333,0.2,0.16666666666666666,5.0,4.833333333333333,89.8,88.0,21.6,21.0,66.2,66.0,0.4,0.3333333333333333,2.0,2.1666666666666665,0.01,0.08596754057428214,0.0925256930946022,4,5,1,3,4,3,-0.54
8,0.5,Away,Arsenal,0.0,4.0,20.0,0.0,11.0,68.8,90.0,51.0,0.0,2.0,0.0,0.0,2.3,2.0571428571428574,2.6,2.4285714285714284,18.8,17.857142857142858,20.0,20.0,68.0,66.28571428571429,0.4,0.2857142857142857,1.8,2.0,1.2,1.1428571428571428,0.2,0.14285714285714285,4.4,4.285714285714286,89.8,88.28571428571429,20.0,20.0,68.0,66.28571428571429,0.4,0.2857142857142857,1.8,2.0,0.005555555555555556,0.08574531835205992,0.08073630836680189,4,3,3,4,3,3,4.07
9,0.8,Home,Brighton,2.0,10.0,21.0,0.0,11.0,91.7,90.0,55.0,0.0,0.0,1.0,2.0,1.7,1.8625,2.2,2.125,13.8,16.125,19.4,20.0,62.4,64.375,0.2,0.25,1.8,2.0,1.0,1.0,0.2,0.125,3.0,3.75,89.8,88.5,19.4,20.0,62.4,64.375,0.2,0.25,1.8,2.0,0.05333333333333333,0.07018976279650437,0.0713387142653961,3,6,1,4,5,1,-0.21
10,4.0,Away,Manchester Utd,3.0,20.0,20.0,1.0,7.0,70.0,90.0,60.0,1.0,1.0,2.0,4.0,1.4200000000000002,1.7444444444444445,1.6,2.111111111111111,14.6,15.444444444444445,20.2,20.11111111111111,59.8,63.333333333333336,0.0,0.2222222222222222,1.4,1.7777777777777777,0.6,1.0,0.0,0.1111111111111111,2.8,3.5555555555555554,89.8,88.66666666666667,20.2,20.11111111111111,59.8,63.333333333333336,0.0,0.2222222222222222,1.4,1.7777777777777777,0.16666666666666666,0.04263420724094881,0.06933811638405579,4,5,1,4,5,1,-0.29
