Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Captain,Formation,Opp Formation,match_id
2023-08-11,20:00 (00:45),Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65,Kevin De Bruyne,4-2-3-1,5-4-1,1
2023-08-19,20:00 (00:45),Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1.0,0.3,59,Kyle Walker,4-2-3-1,4-3-3,2
2023-08-27,14:00 (18:45),Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79,Kyle Walker,4-2-3-1,3-5-2,3
2023-09-02,15:00 (19:45),Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68,Kyle Walker,4-2-3-1,4-3-3,4
2023-09-16,15:00 (19:45),Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68,Kyle Walker,4-2-3-1,4-2-3-1,5
2023-09-23,15:00 (19:45),Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1.0,57,Kyle Walker,4-2-3-1,5-4-1,6
2023-09-30,15:00 (19:45),Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,0.9,0.4,68,Kyle Walker,4-2-3-1,3-4-3,7
2023-10-08,16:30 (21:15),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.4,51,Kyle Walker,4-3-3,4-3-3,8
2023-10-21,15:00 (19:45),Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,0.8,0.8,55,Kyle Walker,3-2-4-1,4-2-3-1,9
2023-10-29,15:30 (21:15),Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,4.0,0.9,60,Kyle Walker,4-2-3-1,4-2-3-1,10
2023-11-04,15:00 (20:45),Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,1.9,0.9,65,Kyle Walker,3-4-3,5-4-1,11
2023-11-12,16:30 (22:15),Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,2.9,2.9,55,Kyle Walker,3-2-4-1,4-2-3-1,12
2023-11-25,12:30 (18:15),Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,1.3,0.6,59,Kyle Walker,3-2-4-1,4-3-3,13
2023-12-03,16:30 (22:15),Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,2.6,0.5,55,Kyle Walker,3-2-4-1,4-2-3-1,14
2023-12-06,20:15 (02:00),Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0.6,2.3,54,Kyle Walker,3-2-4-1,4-4-1-1,15
2023-12-10,14:00 (19:45),Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,1.6,0.3,65,Kyle Walker,4-2-3-1,3-4-3,16
2023-12-16,15:00 (20:45),Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,1.6,1.8,74,Kyle Walker,4-2-3-1,5-4-1,17
2023-12-27,20:15 (02:00),Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,2.4,1.0,72,Kyle Walker,4-2-3-1,4-2-3-1,18
2023-12-30,15:00 (20:45),Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2.2,0.3,80,Kyle Walker,4-2-3-1,3-4-3,19
2024-01-13,17:30 (23:15),Premier League,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,3.0,1.3,72,Kyle Walker,4-2-3-1,4-3-3,20
2024-01-31,19:30 (01:15),Premier League,Matchweek 22,Wed,Home,W,3,1,Burnley,1.7,1.4,74,Kevin De Bruyne,4-2-3-1,4-4-2,21
2024-02-05,20:00 (01:45),Premier League,Matchweek 23,Mon,Away,W,3,1,Brentford,2.1,1.0,72,Kyle Walker,4-1-4-1,3-5-2,22
2024-02-10,12:30 (18:15),Premier League,Matchweek 24,Sat,Home,W,2,0,Everton,1.6,0.3,72,Rúben Dias,4-1-4-1,4-2-3-1,23
2024-02-17,17:30 (23:15),Premier League,Matchweek 25,Sat,Home,D,1,1,Chelsea,2.6,1.4,70,Kyle Walker,4-1-4-1,4-2-3-1,24
2024-02-20,19:30 (01:15),Premier League,Matchweek 18,Tue,Home,W,1,0,Brentford,2.3,0.4,70,Kyle Walker,4-2-3-1,3-5-2,25
2024-02-24,17:30 (23:15),Premier League,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1.6,0.9,62,Rúben Dias,3-2-4-1,4-2-3-1,26
2024-03-03,15:30 (21:15),Premier League,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3.3,0.2,73,Kyle Walker,3-2-4-1,4-2-4-0,27
2024-03-10,15:45 (21:30),Premier League,Matchweek 28,Sun,Away,D,1,1,Liverpool,1.6,2.7,47,Kyle Walker,3-2-4-1,4-3-3,28
2024-03-31,16:30 (21:15),Premier League,Matchweek 30,Sun,Home,D,0,0,Arsenal,1.0,0.7,72,Kevin De Bruyne,4-1-4-1,4-3-3,29
2024-04-03,20:15 (01:00),Premier League,Matchweek 31,Wed,Home,W,4,1,Aston Villa,3.4,0.8,67,Rúben Dias,4-2-3-1,4-2-3-1,30
2024-04-06,12:30 (17:15),Premier League,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,1.9,1.1,75,Kevin De Bruyne,3-2-4-1,3-4-3,31
2024-04-13,15:00 (19:45),Premier League,Matchweek 33,Sat,Home,W,5,1,Luton Town,4.2,0.5,73,Kevin De Bruyne,4-2-3-1,3-4-3,32
2024-04-25,20:00 (00:45),Premier League,Matchweek 29,Thu,Away,W,4,0,Brighton,1.4,0.6,64,Kyle Walker,4-1-4-1,4-2-3-1,33
2024-04-28,16:30 (21:15),Premier League,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,0.9,1.9,66,Kyle Walker,4-1-4-1,5-4-1,34
2024-05-04,17:30 (22:15),Premier League,Matchweek 36,Sat,Home,W,5,1,Wolves,3.7,0.3,58,Kyle Walker,4-2-3-1,3-5-2,35
2024-05-11,12:30 (17:15),Premier League,Matchweek 37,Sat,Away,W,4,0,Fulham,3.2,0.1,64,Kevin De Bruyne,4-2-3-1,4-2-3-1,36
2024-05-14,20:00 (00:45),Premier League,Matchweek 34,Tue,Away,W,2,0,Tottenham,2.4,1.7,47,Kyle Walker,4-2-3-1,4-3-1-2,37
2024-05-19,16:00 (20:45),Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,1.9,0.4,71,Kyle Walker,4-1-4-1,3-4-3,38
