Date,Time,Comp,Round,Day,Venue,Result,Goals For,Goals Against,Opponent,Goals,Shots,Shots on Target,SoT%,Goals per Shot,Goals per SoT,Shot Distance,Free Kicks,Penalty Goals,Penalty Attempts,Expected Goals,Non-Penalty xG,NP xG per Shot,G-xG,NP:G-xG,match_id
2023-08-11,20:00 (00:45),Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,0.5,0.4411764705882353,0.5333333333333333,0.47100000000000003,0.2686567164179104,0.38,0.5371900826446282,0.0,0.0,0.0,0.3783783783783783,0.4516129032258064,0.24242424242424243,0.4736842105263159,0.4736842105263159,1
2023-08-19,20:00 (00:45),Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,0.16666666666666666,0.3529411764705882,0.26666666666666666,0.28600000000000003,0.1044776119402985,0.25,0.8677685950413222,0.0,0.0,0.0,0.13513513513513511,0.16129032258064516,0.09090909090909091,0.28070175438596495,0.28070175438596495,2
2023-08-27,14:00 (18:45),Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,0.3333333333333333,0.7941176470588235,0.6,0.31,0.1044776119402985,0.22,0.8181818181818182,1.0,0.0,0.5,0.8108108108108107,0.7419354838709676,0.18181818181818182,0.017543859649122806,0.14035087719298248,3
2023-09-02,15:00 (19:45),Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,0.8333333333333333,0.1176470588235294,0.26666666666666666,0.667,1.0,1.0,0.6115702479338844,0.0,0.5,0.5,0.45945945945945943,0.29032258064516125,0.6363636363636364,0.7719298245614036,0.736842105263158,4
2023-09-16,15:00 (19:45),Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,0.5,0.7941176470588235,0.8666666666666667,0.44799999999999995,0.14925373134328357,0.23,0.7438016528925618,0.5,0.0,0.0,0.8378378378378377,1.0,0.2727272727272727,0.17543859649122812,0.17543859649122812,5
2023-09-23,15:00 (19:45),Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,0.3333333333333333,0.14705882352941174,0.26666666666666666,0.5710000000000001,0.4328358208955223,0.5,0.8099173553719007,1.0,0.0,0.0,0.2162162162162162,0.25806451612903225,0.4545454545454546,0.4035087719298246,0.4035087719298246,6
2023-09-30,15:00 (19:45),Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,0.16666666666666666,0.6176470588235294,0.5333333333333333,0.348,0.05970149253731343,0.13,0.9834710743801652,0.5,0.0,0.0,0.10810810810810809,0.12903225806451615,0.0,0.29824561403508776,0.29824561403508776,7
2023-10-08,16:30 (21:15),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.6198347107438017,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.19298245614035092,0.19298245614035092,8
2023-10-21,15:00 (19:45),Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,0.3333333333333333,0.23529411764705882,0.3333333333333333,0.5,0.29850746268656714,0.4,0.9421487603305786,0.5,0.0,0.0,0.08108108108108109,0.0967741935483871,0.12121212121212122,0.4912280701754387,0.4912280701754387,9
2023-10-29,15:30 (21:15),Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,0.5,0.5294117647058824,0.6,0.45,0.14925373134328357,0.22,0.8099173553719007,1.0,0.5,0.5,0.9459459459459458,0.8709677419354839,0.36363636363636365,0.10526315789473686,0.07017543859649125,10
2023-11-04,15:00 (20:45),Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,1.0,0.5588235294117647,0.5333333333333333,0.381,0.4328358208955223,0.75,0.7438016528925618,0.0,0.0,0.0,0.3783783783783783,0.4516129032258064,0.1515151515151515,1.0,1.0,11
