minute,result,X,Y,xG,player,situation,season,shotType,Date,player_assisted,lastAction,time,squad,opponent,venue,GF,GA
3,Goal,0.936999969482422,0.5059999847412109,0.5058456659317017,Erling Haaland,FromCorner,2023,LeftFoot,2023-08-11,Rodri,HeadPass,19:00:00,Manchester City,Burnley,Away,3,0
10,MissedShots,0.9519999694824218,0.4209999847412109,0.1302468031644821,Erling Haaland,OpenPlay,2023,RightFoot,2023-08-11,Kevin De Bruyne,Cross,19:00:00,Manchester City,Burnley,Away,3,0
35,Goal,0.8909999847412109,0.385,0.1132136583328247,Erling Haaland,OpenPlay,2023,LeftFoot,2023-08-11,Julián Álvarez,Pass,19:00:00,Manchester City,Burnley,Away,3,0
51,BlockedShot,0.9440000152587892,0.6819999694824219,0.1327562630176544,Erling Haaland,OpenPlay,2023,LeftFoot,2023-08-11,Julián Álvarez,Throughball,19:00:00,Manchester City,Burnley,Away,3,0
40,MissedShots,0.8619999694824219,0.62,0.0904695987701416,Erling Haaland,OpenPlay,2023,LeftFoot,2023-08-19,Phil Foden,Pass,19:00:00,Manchester City,Newcastle United,Home,1,0
49,SavedShot,0.8640000152587891,0.5870000076293945,0.0861922055482864,Erling Haaland,OpenPlay,2023,LeftFoot,2023-08-19,,,19:00:00,Manchester City,Newcastle United,Home,1,0
62,MissedShots,0.87,0.53,0.1247357055544853,Erling Haaland,OpenPlay,2023,LeftFoot,2023-08-19,Phil Foden,Pass,19:00:00,Manchester City,Newcastle United,Home,1,0
64,SavedShot,0.895,0.3629999923706055,0.1065842360258102,Erling Haaland,OpenPlay,2023,RightFoot,2023-08-19,Phil Foden,Pass,19:00:00,Manchester City,Newcastle United,Home,1,0
7,MissedShots,0.8880000305175781,0.4279999923706055,0.0424993485212326,Erling Haaland,OpenPlay,2023,Head,2023-08-27,Bernardo Silva,Cross,13:00:00,Manchester City,Sheffield United,Away,2,1
11,SavedShot,0.904000015258789,0.5329999923706055,0.0838533341884613,Erling Haaland,OpenPlay,2023,Head,2023-08-27,Julián Álvarez,Cross,13:00:00,Manchester City,Sheffield United,Away,2,1
12,BlockedShot,0.9230000305175782,0.6220000076293946,0.0481563918292522,Erling Haaland,FromCorner,2023,LeftFoot,2023-08-27,Julián Álvarez,Cross,13:00:00,Manchester City,Sheffield United,Away,2,1
36,ShotOnPost,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2023-08-27,,Standard,13:00:00,Manchester City,Sheffield United,Away,2,1
50,MissedShots,0.9159999847412108,0.509000015258789,0.1200757026672363,Erling Haaland,OpenPlay,2023,RightFoot,2023-08-27,Kyle Walker,Cross,13:00:00,Manchester City,Sheffield United,Away,2,1
60,SavedShot,0.926999969482422,0.6,0.3865675032138824,Erling Haaland,OpenPlay,2023,LeftFoot,2023-08-27,Mateo Kovacic,Pass,13:00:00,Manchester City,Sheffield United,Away,2,1
62,Goal,0.965999984741211,0.439000015258789,0.5121867656707764,Erling Haaland,OpenPlay,2023,Head,2023-08-27,Jack Grealish,Cross,13:00:00,Manchester City,Sheffield United,Away,2,1
87,MissedShots,0.943000030517578,0.5,0.1444570124149322,Erling Haaland,OpenPlay,2023,Head,2023-08-27,Bernardo Silva,Cross,13:00:00,Manchester City,Sheffield United,Away,2,1
30,MissedShots,0.8969999694824219,0.6659999847412109,0.0695315971970558,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-02,Mateo Kovacic,Pass,14:00:00,Manchester City,Fulham,Home,5,1
57,Goal,0.8530000305175781,0.47,0.3721029758453369,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-02,,,14:00:00,Manchester City,Fulham,Home,5,1
69,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2023-09-02,,Standard,14:00:00,Manchester City,Fulham,Home,5,1
94,Goal,0.8730000305175781,0.5420000076293945,0.1288056522607803,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-02,Sergio Gómez,Pass,14:00:00,Manchester City,Fulham,Home,5,1
6,BlockedShot,0.884000015258789,0.4359999847412109,0.0802464932203292,Erling Haaland,FromCorner,2023,LeftFoot,2023-09-16,Jéremy Doku,HeadPass,14:00:00,Manchester City,West Ham,Away,3,1
6,BlockedShot,0.9540000152587892,0.52,0.6378518342971802,Erling Haaland,FromCorner,2023,LeftFoot,2023-09-16,Rodri,Pass,14:00:00,Manchester City,West Ham,Away,3,1
14,MissedShots,0.931999969482422,0.435,0.3717876970767975,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-16,Josko Gvardiol,Cross,14:00:00,Manchester City,West Ham,Away,3,1
27,BlockedShot,0.8619999694824219,0.620999984741211,0.0784232467412948,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-16,Phil Foden,Pass,14:00:00,Manchester City,West Ham,Away,3,1
41,BlockedShot,0.970999984741211,0.4370000076293945,0.5429793000221252,Erling Haaland,OpenPlay,2023,RightFoot,2023-09-16,Jéremy Doku,Pass,14:00:00,Manchester City,West Ham,Away,3,1
53,SavedShot,0.906999969482422,0.5359999847412109,0.4616487324237823,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-16,Rodri,Throughball,14:00:00,Manchester City,West Ham,Away,3,1
58,SavedShot,0.95,0.4679999923706054,0.0822779983282089,Erling Haaland,OpenPlay,2023,Head,2023-09-16,Bernardo Silva,Aerial,14:00:00,Manchester City,West Ham,Away,3,1
81,SavedShot,0.901999969482422,0.4640000152587891,0.3313724398612976,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-16,Kyle Walker,Cross,14:00:00,Manchester City,West Ham,Away,3,1
85,Goal,0.8980000305175782,0.615,0.3391328155994415,Erling Haaland,OpenPlay,2023,LeftFoot,2023-09-16,Bernardo Silva,Pass,14:00:00,Manchester City,West Ham,Away,3,1
