Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
2023-08-06,16:00 (20:45),Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,,,,,,,,,,,,,Match Report
2023-08-11,20:00 (00:45),Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,29,20,3,1,2,3,0,5,4,0,0,1,0,0,Match Report
2023-08-16,22:00 (00:45),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,,,,,,,,,,,,,,,Match Report
2023-08-19,20:00 (00:45),Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,27,24,1,1,1,0,0,2,2,0,0,0,0,0,Match Report
2023-08-27,14:00 (18:45),Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,58,52,1,1,2,2,0,4,3,0,0,1,0,0,Match Report
2023-09-02,15:00 (19:45),Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,13,9,1,1,1,1,0,9,5,1,1,1,1,0,Match Report
2023-09-16,15:00 (19:45),Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,55,45,1,2,5,1,1,6,6,0,0,0,0,0,Match Report
2023-09-19,20:00 (00:45),Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,68,50,5,4,8,1,0,6,4,0,1,0,1,0,Match Report
2023-09-23,15:00 (19:45),Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,14,10,1,1,0,2,0,4,4,0,0,0,0,0,Match Report
2023-09-27,20:00 (00:45),EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,,,,,,,,,,,,,,,Match Report
2023-09-30,15:00 (19:45),Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,41,27,4,0,5,5,0,2,1,0,0,0,1,0,Match Report
2023-10-04,21:00 (00:45),Champions Lg,Group stage,Wed,Away,W,3,1,de RB Leipzig,33,28,0,2,2,1,0,6,6,0,0,0,0,0,Match Report
2023-10-08,16:30 (21:15),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,7,6,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-10-21,15:00 (19:45),Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,17,13,0,3,0,1,0,2,1,0,1,0,0,0,Match Report
2023-10-25,21:00 (00:45),Champions Lg,Group stage,Wed,Away,W,3,1,ch Young Boys,48,35,2,5,5,1,0,5,2,0,0,2,1,0,Match Report
For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
2023-10-29,15:30 (21:15),Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,40,33,1,0,2,4,0,6,3,0,0,1,2,0,Match Report
2023-11-04,15:00 (20:45),Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,40,33,2,4,1,0,0,11,9,0,1,1,0,0,Match Report
2023-11-07,20:00 (01:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Young Boys,52,42,1,5,2,2,0,6,4,0,1,0,1,0,Match Report
2023-11-12,16:30 (22:15),Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,29,21,2,2,2,2,0,7,4,1,0,1,1,0,Match Report
2023-11-25,12:30 (18:15),Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,30,18,3,5,1,2,1,2,1,0,1,0,0,0,Match Report
