For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2023-08-06,16:00 (20:45),Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,1,8,4,50.0,0.13,0.25,,,0,0,,,,,,Match Report
2023-08-11,20:00 (00:45),Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,+1.1,+1.1,Match Report
2023-08-16,22:00 (00:45),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,1,23,7,30.4,0.04,0.14,,,0,0,,,,,,Match Report
2023-08-19,20:00 (00:45),Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report
2023-08-27,14:00 (18:45),Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,2,29,9,31.0,0.07,0.22,17.3,2,0,1,3.5,2.8,0.10,-1.5,-0.8,Match Report
2023-09-02,15:00 (19:45),Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,5,6,4,66.7,0.67,1.00,14.8,0,1,1,2.2,1.4,0.25,+2.8,+2.6,Match Report
2023-09-16,15:00 (19:45),Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3,29,13,44.8,0.10,0.23,16.4,1,0,0,3.6,3.6,0.13,-0.6,-0.6,Match Report
2023-09-19,20:00 (00:45),Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,3,37,16,43.2,0.08,0.19,15.2,1,0,0,4.1,4.1,0.11,-1.1,-1.1,Match Report
2023-09-23,15:00 (19:45),Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,2,7,4,57.1,0.29,0.50,17.2,2,0,0,1.3,1.3,0.19,+0.7,+0.7,Match Report
2023-09-27,20:00 (00:45),EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,0,10,2,20.0,0.00,0.00,,,0,0,,,,,,Match Report
2023-09-30,15:00 (19:45),Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,1,23,8,34.8,0.04,0.13,19.3,1,0,0,0.9,0.9,0.04,+0.1,+0.1,Match Report
2023-10-04,21:00 (00:45),Champions Lg,Group stage,Wed,Away,W,3,1,de RB Leipzig,3,18,5,27.8,0.17,0.60,14.7,1,0,0,2.2,2.2,0.13,+0.8,+0.8,Match Report
2023-10-08,16:30 (21:15),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0,4,0,0.0,0.00,,14.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Match Report
2023-10-21,15:00 (19:45),Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,2,10,5,50.0,0.20,0.40,18.8,1,0,0,0.8,0.8,0.08,+1.2,+1.2,Match Report
2023-10-25,21:00 (00:45),Champions Lg,Group stage,Wed,Away,W,3,1,ch Young Boys,3,25,12,48.0,0.08,0.17,15.4,0,1,1,4.2,3.5,0.14,-1.2,-1.5,Match Report
For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2023-10-29,15:30 (21:15),Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,3,20,9,45.0,0.10,0.22,17.2,2,1,1,4.0,3.2,0.16,-1.0,-1.2,Match Report
2023-11-04,15:00 (20:45),Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,6,21,8,38.1,0.29,0.75,16.4,0,0,0,1.9,1.9,0.09,+4.1,+4.1,Match Report
2023-11-07,20:00 (01:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Young Boys,3,26,8,30.8,0.08,0.25,16.1,1,1,1,3.4,2.6,0.11,-0.4,-0.6,Match Report
2023-11-12,16:30 (22:15),Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,4,14,9,64.3,0.21,0.33,16.6,1,1,1,2.9,2.1,0.15,+1.1,+0.9,Match Report
2023-11-25,12:30 (18:15),Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,1,16,5,31.3,0.06,0.20,16.3,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
2023-11-28,20:00 (01:45),Champions Lg,Group stage,Tue,Home,W,3,2,de RB Leipzig,3,14,6,42.9,0.21,0.50,14.4,0,0,0,1.8,1.8,0.13,+1.2,+1.2,Match Report
2023-12-03,16:30 (22:15),Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,2,17,4,23.5,0.12,0.50,13.4,0,0,0,2.6,2.6,0.15,-0.6,-0.6,Match Report
2023-12-06,20:15 (02:00),Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0,2,2,100.0,0.00,0.00,7.4,0,0,0,0.6,0.6,0.37,-0.6,-0.6,Match Report
2023-12-10,14:00 (19:45),Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,2,18,6,33.3,0.11,0.33,18.7,1,0,0,1.6,1.6,0.09,+0.4,+0.4,Match Report
2023-12-13,18:45 (23:30),Champions Lg,Group stage,Wed,Away,W,3,2,rs Red Star,3,9,2,22.2,0.22,1.00,19.2,0,1,1,1.4,0.6,0.06,+1.6,+1.4,Match Report
2023-12-16,15:00 (20:45),Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,2,19,9,47.4,0.11,0.22,18.2,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Match Report
2023-12-27,20:15 (02:00),Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,3,22,8,36.4,0.09,0.25,19.5,1,1,1,2.4,1.8,0.09,+0.6,+0.2,Match Report
2023-12-30,15:00 (20:45),Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2,18,4,22.2,0.11,0.50,17.4,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Match Report
2024-01-07,14:00 (19:45),FA Cup,Third round proper,Sun,Home,W,5,0,Huddersfield,4,18,7,38.9,0.22,0.57,,,0,0,,,,,,Match Report
2024-01-13,17:30 (23:15),Premier League,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,3,27,11,40.7,0.11,0.27,19.3,2,0,0,3.0,3.0,0.11,0.0,0.0,Match Report
For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2024-01-26,20:00 (01:45),FA Cup,Fourth round proper,Fri,Away,W,1,0,Tottenham,1,18,5,27.8,0.06,0.20,,,0,0,,,,,,Match Report
2024-01-31,19:30 (01:15),Premier League,Matchweek 22,Wed,Home,W,3,1,Burnley,3,14,4,28.6,0.21,0.75,15.8,1,0,0,1.7,1.7,0.13,+1.3,+1.3,Match Report
2024-02-05,20:00 (01:45),Premier League,Matchweek 23,Mon,Away,W,3,1,Brentford,3,25,15,60.0,0.12,0.20,19.2,0,0,0,2.1,2.1,0.08,+0.9,+0.9,Match Report
2024-02-10,12:30 (18:15),Premier League,Matchweek 24,Sat,Home,W,2,0,Everton,2,19,3,15.8,0.11,0.67,17.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Match Report
2024-02-13,21:00 (01:45),Champions Lg,Round of 16,Tue,Away,W,3,1,dk FC Copenhagen,3,27,12,44.4,0.11,0.25,17.4,4,0,0,3.3,3.3,0.13,-0.3,-0.3,Match Report
2024-02-17,17:30 (23:15),Premier League,Matchweek 25,Sat,Home,D,1,1,Chelsea,1,31,5,16.1,0.03,0.20,15.9,1,0,0,2.6,2.6,0.09,-1.6,-1.6,Match Report
2024-02-20,19:30 (01:15),Premier League,Matchweek 18,Tue,Home,W,1,0,Brentford,1,25,10,40.0,0.04,0.10,17.6,0,0,0,2.3,2.3,0.10,-1.3,-1.3,Match Report
2024-02-24,17:30 (23:15),Premier League,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1,15,6,40.0,0.07,0.17,15.5,1,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
2024-02-27,20:00 (01:45),FA Cup,Fifth round proper,Tue,Away,W,6,2,Luton Town,6,17,15,88.2,0.35,0.40,,,0,0,,,,,,Match Report
2024-03-03,15:30 (21:15),Premier League,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3,27,8,29.6,0.11,0.38,17.7,1,0,0,3.3,3.3,0.12,-0.3,-0.3,Match Report
2024-03-06,20:00 (01:45),Champions Lg,Round of 16,Wed,Home,W,3,1,dk FC Copenhagen,3,12,3,25.0,0.25,1.00,14.8,0,0,0,0.8,0.8,0.06,+2.2,+2.2,Match Report
2024-03-10,15:45 (21:30),Premier League,Matchweek 28,Sun,Away,D,1,1,Liverpool,1,10,6,60.0,0.10,0.17,18.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Match Report
2024-03-16,17:30 (23:15),FA Cup,Quarter-finals,Sat,Home,W,2,0,Newcastle Utd,2,16,5,31.3,0.13,0.40,,,0,0,,,,,,Match Report
2024-03-31,16:30 (21:15),Premier League,Matchweek 30,Sun,Home,D,0,0,Arsenal,0,12,1,8.3,0.00,0.00,14.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report
2024-04-03,20:15 (01:00),Premier League,Matchweek 31,Wed,Home,W,4,1,Aston Villa,4,25,11,44.0,0.16,0.36,15.9,2,0,0,3.4,3.4,0.14,+0.6,+0.6,Match Report
For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2024-04-06,12:30 (17:15),Premier League,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,4,18,8,44.4,0.22,0.50,16.1,0,0,0,1.9,1.9,0.11,+2.1,+2.1,Match Report
2024-04-09,21:00 (00:45),Champions Lg,Quarter-finals,Tue,Away,D,3,3,es Real Madrid,3,12,6,50.0,0.25,0.50,19.7,2,0,0,0.8,0.8,0.07,+2.2,+2.2,Match Report
2024-04-13,15:00 (19:45),Premier League,Matchweek 33,Sat,Home,W,5,1,Luton Town,4,36,12,33.3,0.08,0.25,16.9,0,1,1,4.2,3.4,0.10,-0.2,-0.4,Match Report
2024-04-17,20:00 (00:45),Champions Lg,Quarter-finals,Wed,Home,D,1 (3),1 (4),es Real Madrid,1,33,9,27.3,0.03,0.11,15.1,0,0,0,2.7,2.7,0.08,-1.7,-1.7,Match Report
2024-04-20,17:15 (22:00),FA Cup,Semi-finals,Sat,Neutral,W,1,0,Chelsea,1,14,3,21.4,0.07,0.33,,,0,0,,,,,,Match Report
2024-04-25,20:00 (00:45),Premier League,Matchweek 29,Thu,Away,W,4,0,Brighton,4,14,6,42.9,0.29,0.67,17.0,1,0,0,1.4,1.4,0.10,+2.6,+2.6,Match Report
2024-04-28,16:30 (21:15),Premier League,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,2,11,5,45.5,0.18,0.40,18.7,1,0,0,0.9,0.9,0.08,+1.1,+1.1,Match Report
2024-05-04,17:30 (22:15),Premier League,Matchweek 36,Sat,Home,W,5,1,Wolves,5,18,10,55.6,0.17,0.30,15.3,0,2,2,3.7,2.1,0.12,+1.3,+0.9,Match Report
2024-05-11,12:30 (17:15),Premier League,Matchweek 37,Sat,Away,W,4,0,Fulham,4,15,8,53.3,0.20,0.38,17.6,0,1,1,3.2,2.4,0.16,+0.8,+0.6,Match Report
2024-05-14,20:00 (00:45),Premier League,Matchweek 34,Tue,Away,W,2,0,Tottenham,2,7,4,57.1,0.14,0.25,14.5,0,1,1,2.4,1.6,0.23,-0.4,-0.6,Match Report
2024-05-19,16:00 (20:45),Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,3,28,12,42.9,0.11,0.25,17.9,2,0,0,1.9,1.9,0.07,+1.1,+1.1,Match Report
2024-05-25,15:00 (19:45),FA Cup,Final,Sat,Neutral,L,1,2,Manchester Utd,1,19,4,21.1,0.05,0.25,,,0,0,,,,,,Match Report
,,,,,,--,,,,139,1039,395,38.0,0.12,0.32,16.8,34,12,13,,,0.11,+139.0,+127.0,
