Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jack Grealish,10.0,eng ENG,FW,28-017,90,0,0,0,0,1,1,0,0,2,3,0,3,1,0,0,,
Sergio Gómez,21.0,es ESP,LW,23-023,90,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,,
Julián Álvarez,19.0,ar ARG,AM,23-239,72,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,,
Phil Foden,47.0,eng ENG,"FW,MF",23-122,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Mateo Kovačić,8.0,hr CRO,AM,29-144,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Jeremy Doku,11.0,be BEL,"FW,MF",21-123,23,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,
Oscar Bobb,52.0,no NOR,RW,20-077,90,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,
Manuel Akanji,25.0,ch SUI,DM,28-070,90,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,,
Joško Gvardiol,24.0,hr CRO,DM,21-247,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
Nathan Aké,6.0,nl NED,CB,28-221,67,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,
Matheus Nunes,27.0,pt POR,MF,25-031,23,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,,
Kalvin Phillips,4.0,eng ENG,CB,27-299,90,0,0,0,0,2,0,1,0,3,1,0,0,0,1,0,,
Rico Lewis,82.0,eng ENG,CB,18-310,90,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,
Stefan Ortega,18.0,de GER,GK,30-325,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14 Players,,,,,990,0,0,0,0,10,2,2,0,10,12,0,11,5,4,0,,
