Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Oscar Bobb,52.0,no NOR,"FW,RW",20-154,90,1,0,0,0,2,1,0,0,49,0,0,0,0.1,0.1,0.1,2,0,42,43,97.7,3,37,3,2,1
Jack Grealish,10.0,eng ENG,LW,28-094,45,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,2,1,13,21,61.9,1,18,4,2,1
Phil Foden,47.0,eng ENG,"FW,AM",23-199,45,0,0,0,0,1,0,0,0,27,0,0,0,0.1,0.1,0.0,1,0,20,23,87.0,2,25,0,0,0
Micah Hamilton,92.0,eng ENG,"LW,RW",20-030,90,1,0,0,0,2,1,0,0,39,0,0,1,0.1,0.1,0.0,2,1,25,27,92.6,2,33,6,5,0
Matheus Nunes,27.0,pt POR,AM,25-108,81,0,1,0,0,1,0,0,0,63,0,1,1,0.1,0.1,0.1,2,1,50,55,90.9,5,52,3,4,1
Bernardo Silva,20.0,pt POR,RW,29-125,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,1,6,9,66.7,0,8,2,0,0
Mateo Kovačić,8.0,hr CRO,DM,29-221,75,0,0,0,0,2,0,0,0,64,2,0,0,0.1,0.1,0.0,1,0,54,57,94.7,2,49,2,3,1
Mahamadou Susoho,76.0,es ESP,DM,18-327,15,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,1,12,0,0,0
Kalvin Phillips,4.0,eng ENG,DM,28-011,90,1,0,1,1,1,0,1,0,82,2,0,0,0.8,0.0,0.0,1,0,65,72,90.3,6,57,1,3,0
Sergio Gómez,21.0,es ESP,LB,23-100,90,0,0,0,0,0,0,0,0,79,0,1,1,0.0,0.0,0.1,2,0,69,75,92.0,3,54,4,1,1
Manuel Akanji,25.0,ch SUI,CB,28-147,90,0,0,0,0,0,0,0,0,85,3,0,1,0.0,0.0,0.0,1,0,73,78,93.6,3,60,1,1,1
John Stones,5.0,eng ENG,CB,29-199,85,0,0,0,0,0,0,0,0,72,0,0,1,0.0,0.0,0.0,1,1,61,67,91.0,1,43,0,0,0
Nathan Aké,6.0,nl NED,CB,28-298,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
Rico Lewis,82.0,eng ENG,RB,19-022,90,0,1,0,0,0,0,0,0,74,1,1,0,0.0,0.0,0.1,2,1,66,69,95.7,4,58,3,3,3
Stefan Ortega,18.0,de GER,GK,31-037,90,0,0,0,0,0,0,0,0,87,0,0,0,0.0,0.0,0.0,0,0,70,85,82.4,0,72,0,1,1
15 Players,,,,,990,3,2,1,1,9,2,1,0,776,8,3,5,1.4,0.6,0.5,18,6,630,699,90.1,33,579,29,25,10
