Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Cmp,Att,Cmp%,TotDist
Max Aarons,eng ENG,DF,Bournemouth,23,2000,20,13,"1,237",13.7,0,1,1,0,0,0,1,0,0,0,0.8,0.9,22,43,26,450,581,77.5,7402
Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50,18
Tyler Adams,us USA,MF,Bournemouth,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,5,1,59,71,83.1,973
Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,20,18,"1,617",18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,1028,1216,84.5,21010
Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,27,16,"1,419",15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110,144,204,70.6,1847
Simon Adingra,ci CIV,FW,Brighton,21,2002,31,25,"2,222",24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8,111,50,278,634,840,75.5,8828
Nayef Aguerd,ma MAR,DF,West Ham,27,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,943,1177,80.1,19870
Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,50,48
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0,0.5,19,25,20,150,187,80.2,2455
Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,31,29,"2,649",29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4,15,43,21,749,993,75.4,12780
Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,22,20,"1,692",18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,52,69,37,605,803,75.3,9657
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,33,29,"2,329",25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99,1005,1190,84.5,13946
Kristoffer Ajer,no NOR,DF,Brentford,25,1998,28,21,"1,832",20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,22,61,31,610,810,75.3,10210
Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,30,28,"2,511",27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,46,148,36,2180,2334,93.4,35688
Nathan Aké,nl NED,DF,Manchester City,28,1995,29,24,"2,042",22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,24,116,18,1716,1864,92.1,26189
Thiago Alcántara,es ESP,MF,Liverpool,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,70,130
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,28,25,"2,155",23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,1553,2062,75.3,30386
Alisson,br BRA,GK,Liverpool,30,1992,28,28,"2,520",28,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,985,1142,86.3,21428
Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,33,23,"1,937",21.5,3,1,4,3,0,0,2,0,4.5,4.5,2.6,7.2,78,78,162,668,801,83.4,9023
Edson Álvarez,mx MEX,MF,West Ham,25,1997,31,28,"2,377",26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,20,91,26,1033,1207,85.6,17083
Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,36,31,"2,647",29.4,11,8,19,9,2,2,2,0,13,11.5,6.4,17.9,64,103,180,1011,1258,80.4,13977
Zeki Amdouni,ch SUI,FW,Burnley,22,2000,34,27,"1,953",21.7,5,1,6,4,1,1,2,0,5.8,5,1.4,6.5,63,49,93,396,500,79.2,6229
Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,578,664,87,10308
Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,38,38,"3,415",37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,1731,2209,78.4,37874
