Date,Round,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Formation,Opp Formation,match_id,Goals,Shots,Shots on Target,SoT%,Goals per Shot,Goals per SoT,Shot Distance,Free Kicks,Penalty Goals,Penalty Attempts,Expected Goals,Non-Penalty xG,NP xG per Shot,G-xG,NP:G-xG,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,Player_xG,npxG,xAG,SCA,GCA,PassCmp,PassAttm,PassCmp%,PrgPass,Carries,PrgCarries,TakeonsAtt,TakeonsSucc,Goal_xG,Minute,Body Part,Assist,Goalkeeper,Notes,minute,result,X,Y,shot_xG,player,situation,season,shotType,player_assisted,lastAction,time,squad,opponent_shot
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.14,36,Left Foot,Julián Álvarez,James Trafford,None,3.0,Goal,0.936999969482422,0.5059999847412109,0.5058456659317017,Erling Haaland,FromCorner,2023.0,LeftFoot,Rodri,HeadPass,19:00:00,Manchester City,Burnley
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.14,36,Left Foot,Julián Álvarez,James Trafford,None,10.0,MissedShots,0.9519999694824218,0.4209999847412109,0.1302468031644821,Erling Haaland,OpenPlay,2023.0,RightFoot,Kevin De Bruyne,Cross,19:00:00,Manchester City,Burnley
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.14,36,Left Foot,Julián Álvarez,James Trafford,None,35.0,Goal,0.8909999847412109,0.385,0.1132136583328247,Erling Haaland,OpenPlay,2023.0,LeftFoot,Julián Álvarez,Pass,19:00:00,Manchester City,Burnley
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.14,36,Left Foot,Julián Álvarez,James Trafford,None,51.0,BlockedShot,0.9440000152587892,0.6819999694824219,0.1327562630176544,Erling Haaland,OpenPlay,2023.0,LeftFoot,Julián Álvarez,Throughball,19:00:00,Manchester City,Burnley
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.17,4,Left Foot,Rodri,James Trafford,Volley,3.0,Goal,0.936999969482422,0.5059999847412109,0.5058456659317017,Erling Haaland,FromCorner,2023.0,LeftFoot,Rodri,HeadPass,19:00:00,Manchester City,Burnley
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.17,4,Left Foot,Rodri,James Trafford,Volley,10.0,MissedShots,0.9519999694824218,0.4209999847412109,0.1302468031644821,Erling Haaland,OpenPlay,2023.0,RightFoot,Kevin De Bruyne,Cross,19:00:00,Manchester City,Burnley
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.17,4,Left Foot,Rodri,James Trafford,Volley,35.0,Goal,0.8909999847412109,0.385,0.1132136583328247,Erling Haaland,OpenPlay,2023.0,LeftFoot,Julián Álvarez,Pass,19:00:00,Manchester City,Burnley
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.17,4,Left Foot,Rodri,James Trafford,Volley,51.0,BlockedShot,0.9440000152587892,0.6819999694824219,0.1327562630176544,Erling Haaland,OpenPlay,2023.0,LeftFoot,Julián Álvarez,Throughball,19:00:00,Manchester City,Burnley
2023-08-19,Matchweek 2,Home,W,1,0,Newcastle Utd,1.0,0.3,59,4-2-3-1,4-3-3,2,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.0,1.0,0.07,0.0,0.0,90,0,0,0,0,4,2,0,0,22,0,1,1,0.4,0.4,0.1,2,0,6,11,54.5,1,15,3,1,0,0.0,0,None,None,None,None,40.0,MissedShots,0.8619999694824219,0.62,0.0904695987701416,Erling Haaland,OpenPlay,2023.0,LeftFoot,Phil Foden,Pass,19:00:00,Manchester City,Newcastle United
2023-08-19,Matchweek 2,Home,W,1,0,Newcastle Utd,1.0,0.3,59,4-2-3-1,4-3-3,2,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.0,1.0,0.07,0.0,0.0,90,0,0,0,0,4,2,0,0,22,0,1,1,0.4,0.4,0.1,2,0,6,11,54.5,1,15,3,1,0,0.0,0,None,None,None,None,49.0,SavedShot,0.8640000152587891,0.5870000076293945,0.0861922055482864,Erling Haaland,OpenPlay,2023.0,LeftFoot,,,19:00:00,Manchester City,Newcastle United
