Date,Gls,Ast,Player_xG,npxG,PassCmp,PassAttm,PrgPass,TakeonsAtt,TakeonsSucc,GF,GA
2023-08-11,2,0,0.6,0.6,9,11,1,0,0,3,0
2023-08-19,0,0,0.4,0.4,6,11,1,1,0,1,0
2023-08-27,1,0,2.1,1.3,6,11,0,1,1,2,1
2023-09-02,3,1,1.6,0.8,4,6,1,1,0,5,1
2023-09-16,1,0,2.5,2.5,9,13,0,0,0,3,1
2023-09-23,1,0,0.7,0.7,9,15,0,0,0,2,0
2023-09-30,0,0,0.1,0.1,10,12,1,2,1,1,2
2023-10-08,0,0,0.0,0.0,11,16,1,1,1,0,1
2023-10-21,1,0,0.3,0.3,11,12,1,0,0,2,1
2023-10-29,2,1,2.0,1.2,7,10,1,0,0,3,0
2023-11-04,0,0,0.4,0.4,7,9,1,1,1,6,1
2023-11-12,2,1,2.0,1.2,10,12,1,1,0,4,4
2023-11-25,1,0,0.7,0.7,7,10,0,0,0,1,1
2023-12-03,0,1,0.7,0.7,12,15,1,3,2,3,3
2023-12-06,0,0,0.6,0.6,7,10,0,1,0,0,1
2023-12-10,0,0,0.0,0.0,0,0,0,0,0,2,1
2023-12-16,0,0,0.0,0.0,0,0,0,0,0,2,2
2023-12-27,0,0,0.0,0.0,0,0,0,0,0,3,1
2023-12-30,0,0,0.0,0.0,0,0,0,0,0,2,0
2024-01-13,0,0,0.0,0.0,0,0,0,0,0,3,2
2024-01-31,0,0,0.2,0.2,3,4,0,0,0,3,1
2024-02-05,0,1,0.7,0.7,12,17,1,0,0,3,1
2024-02-10,2,0,0.7,0.7,12,13,1,3,2,2,0
2024-02-17,0,0,1.6,1.6,9,12,0,0,0,1,1
2024-02-20,1,0,0.9,0.9,15,16,3,1,1,1,0
2024-02-24,0,0,0.4,0.4,16,21,1,1,0,1,0
2024-03-03,1,0,1.6,1.6,5,7,0,2,0,3,1
2024-03-10,0,0,0.1,0.1,12,15,2,3,1,1,1
2024-03-31,0,0,0.3,0.3,7,11,0,0,0,0,0
2024-04-03,0,0,0.0,0.0,0,0,0,0,0,4,1
2024-04-06,1,0,0.6,0.6,13,16,0,3,1,4,2
2024-04-13,1,0,1.8,1.0,12,15,0,0,0,5,1
2024-04-25,0,0,0.0,0.0,0,0,0,0,0,4,0
2024-04-28,1,0,0.4,0.4,11,12,0,3,1,2,0
2024-05-04,4,0,2.1,0.5,10,15,2,1,0,5,1
2024-05-11,0,0,0.6,0.6,8,10,2,0,0,4,0
2024-05-14,2,0,1.7,0.9,12,14,3,0,0,2,0
2024-05-19,0,0,0.7,0.7,13,17,1,1,0,3,1
